Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE230523,Stem cells tightly regulate dead cell clearance to maintain tissue fitness [Bulk RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells as non-professional phagocytes during hair cycle,"The study directly assays hair follicle stem cells and investigates their role in phagocytosis during the hair cycle, making hair biology a central subject.","Title mentions stem cells and dead cell clearance, but summary explicitly states exploiting cyclical bouts of tissue regeneration and degeneration during the hair cycle. || Summary: 'we show that stem cells can transiently become non-professional phagocytes when confronted with dying cells' in the context of hair cycle. || Overall design: 'Cultured hair follicle stem cells were FACS-sorted' directly indicates hair follicle stem cells are the assayed sample.",include || include,include
GSE239791,Keratinocyte Wnt5β promotes dermal adipogenesis by simultaneously regulating adipocyte precursor cell conversion and adipogenic signaling,include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.9,Keratinocyte-derived Wnt5β signaling in dermal adipogenesis and hair follicle cycle,"The study directly investigates dermal adipogenesis in relation to the hair follicular cycle, making hair follicle biology a central component of the research question.",Summary states: 'keratinocyte activates dermal adipose tissue (dWAT) differentiation upon hair follicular cycle' || Summary states: 'Foxn1 p.L19M variant that induced the formation of a thicker dWAT regardless of hair follicular cycle' || Summary states: 'dWAT in functions such as... hair follicle growth',include || include,include
GSE229111,Skin-type-dependent development of murine mechanosensory neurons,exclude,exclude,组学对象是感觉神经元/触觉亚型，毛囊仅作为神经支配的解剖背景,exclude,0.95,mechanosensory neuron development,"Hair follicles are only a structural context for lanceolate endings; the study's primary subject is neuronal development, not hair biology or alopecia.",Title: Skin-type-dependent development of murine mechanosensory neurons || Summary: Focus on mechanoreceptor morphogenesis and axonal endings (Meissner corpuscles vs. lanceolate endings) in glabrous vs. hairy skin || Overall_Design: Smart seq of glabrous and hairy skin innervating neurons,exclude || exclude,exclude
GSE233906,Functional interrogation of lymphocyte subsets in alopecia areata using single-cell RNA sequencing,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Alopecia areata immune cell landscape,"The study directly investigates alopecia areata, a hair-loss disorder, using single-cell RNA sequencing of skin-infiltrating immune cells from both mouse model and human samples.",Title explicitly states 'alopecia areata' || Summary describes scRNA-seq of skin-infiltrating immune cells from AA mouse model and human AA skin || Study aims to understand immunological mechanisms of AA,include || include,include
GSE232908,Dynamic regulation of chromatin accessibility during melanocyte stem cell activation,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Melanocyte stem cell activation in hair follicle during hair cycle and UVB exposure,"The study directly assays melanocyte stem cells in hair follicles across hair cycle stages (telogen, anagen) and UVB exposure, making hair follicle biology a central subject.","Title: Dynamic regulation of chromatin accessibility during melanocyte stem cell activation || Summary: sorted melanocyte nuclei from quiescent (telogen) skin, skin actively producing hair shafts (anagen), and skin exposed to UVB || Summary: characterized three melanocyte lineages: quiescent McSCs, activated McSCs, and differentiated melanocytes that co-exist in all three skin conditions || Overall_Design: snATAC-seq from dorsal skin of mice in telogen phase or treated with Nair cream (to induce anagen) or UVB",include || include,include
GSE218854,Role of Atg16L1 in skin biology,include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Role of keratinocyte autophagy in hair follicle stem cell activation,"The study directly investigates hair follicle stem cell activation as a primary endpoint, making it relevant to hair biology.","Summary states: 'identify a crucial role for keratinocyte autophagy in mediating the timing of hair follicle stem cell activation in hair growth' || scRNA-seq performed on total skin, but the central finding concerns hair follicle stem cell activation",include || include,include
GSE236091,The homing of exogenous hair follicle mesenchymal stem cells into hair follicle niches,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle mesenchymal stem cells (dermal papilla and dermal sheath cells),"The study directly assays hair follicle-derived cells (DPCs and DSCs) and investigates their homing into hair follicle niches, making it central to hair follicle biology.","Title explicitly states 'hair follicle mesenchymal stem cells' and 'hair follicle niches' || Summary describes study of dermal papilla cells (DPCs) and dermal sheath cells (DSCs), which are hair follicle components || Study aims to understand homing of these cells into hair follicle niches, directly relevant to hair biology",include || include,include
GSE208551,The homing behaviors of hair follicle dermal cells and cell intermigration between hair follicle and perifollicular microenvironment,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle dermal cell homing and perifollicular microenvironment after depilation,"The study directly investigates hair follicle dermal cell homing to the follicle niche, a central hair biology question, using transcriptomics of skin after depilation.",Title explicitly mentions hair follicle dermal cells and their homing behaviors || Summary states that skin depilation increased DPCs and DSCs homing to HF niches || Transcriptome analysis of skin samples after depilation to screen chemokines involved in homing,include || include,include
GSE205075,AR/miR-221/IGF-1 pathway mediates the pathogenesis of androgenetic alopecia,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,miR-221 overexpression in hair follicle dermal papilla and dermal sheath cells in androgenetic alopecia,The study directly assays hair follicle cells (DPCs and DSCs) and investigates androgenetic alopecia pathogenesis.,Title explicitly states 'AR/miR-221/IGF-1 pathway mediates the pathogenesis of androgenetic alopecia' || Summary mentions 'dermal papilla cells (DPCs) and dermal sheath cells (DSCs) of hair follicle' || Overall design: 'effect of miR-221 overexpression on gene expression profile in cultured DPCs and DSCs',include || include,include
GSE235480,Hdac1 and Hdac2 regulate the quiescent state and survival of hair-follicle mesenchymal niche,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle dermal papilla quiescence and survival regulated by Hdac1/2,"The study directly investigates molecular mechanisms in the hair follicle dermal papilla, a core hair biology component, using conditional knockout and transcriptomics.",Title explicitly states regulation of hair-follicle mesenchymal niche || Summary describes dermal papilla as the mesenchymal niche of the hair follicle || Overall design involves ablation of Hdac1/2 in dermal papilla and RNA-seq at multiple hair cycle time points,include || include,include
